time_trt,surv_trt,time_ctr,surv_ctr
0.043860768,0.99432877,0.096787624,0.994952517
0.31119148,0.964246917,0.159164505,0.986251721
0.362159018,0.960331974,0.212772272,0.981157192
0.400450816,0.951976004,0.253071333,0.964463917
0.443628392,0.948994561,0.287146707,0.949668699
0.458656505,0.937285085,0.295836655,0.935589204
0.48958963,0.929188766,0.318804839,0.924235006
0.530158184,0.925427763,0.35889488,0.913524692
0.559384386,0.915676816,0.406067123,0.904417244
0.602102375,0.905445215,0.439393242,0.895758281
0.657757783,0.899739871,0.469430338,0.883610959
0.694396007,0.889688167,0.492285457,0.869009195
0.718442366,0.875839403,0.524217178,0.85879723
0.777442275,0.870965362,0.572001991,0.848621826
0.826558223,0.865602139,0.618585618,0.836750379
0.868960976,0.85872807,0.639917399,0.82117895
0.910506404,0.847354596,0.648249242,0.809258102
0.943637266,0.836787,0.676234055,0.800163814
0.993643272,0.831530887,0.722657169,0.791020779
1.035317411,0.823692077,0.764903719,0.777334906
1.078823271,0.820307632,0.792292024,0.764193714
1.102700443,0.810410482,0.835175008,0.759014528
1.151007001,0.805662699,0.852253336,0.749789997
1.175654456,0.796662422,0.900214346,0.744581947
1.222746633,0.792813597,0.950645995,0.740150165
1.240568429,0.782904985,0.969734046,0.730517596
1.287506301,0.773162377,1.008140315,0.721898836
1.342451457,0.766981117,1.050264889,0.712520133
1.384835745,0.758596453,1.078967397,0.701907692
1.438810452,0.755620172,1.11549678,0.70085298
1.488020699,0.748338869,1.13533846,0.689964424
1.538720541,0.742561143,1.182623864,0.682487777
1.598610572,0.737619058,1.235760164,0.675962919
1.646264982,0.727327725,1.24687695,0.669901631
1.692034525,0.720161634,1.300182934,0.669075096
1.711027305,0.711662356,1.351254687,0.660728823
1.77010681,0.705942227,1.376169544,0.648162539
1.821543404,0.702067588,1.436510376,0.64484855
1.881923436,0.698942683,1.480991546,0.640021233
1.937846341,0.691252824,1.499541649,0.628355198
1.994337653,0.689147035,1.541858445,0.620186636
2.052103468,0.689014933,1.597513476,0.614450535
2.109870977,0.689021442,1.644790996,0.606741656
2.167637357,0.688935543,1.696888084,0.602161691
2.220461023,0.685476242,1.744289783,0.597294309
2.283780531,0.681417481,1.805758438,0.593978636
2.335857677,0.675959801,1.852697188,0.587040137
2.368951661,0.671325867,1.90409804,0.583539093
2.426977986,0.669490046,1.940086638,0.574045469
2.483150089,0.665820127,1.990056376,0.570236879
2.536225006,0.661434092,2.01578325,0.559840467
2.581404002,0.655530928,2.060919971,0.551029596
2.64474546,0.653267939,2.119722617,0.545271744
2.697603653,0.652633208,2.180843199,0.541785934
2.755369468,0.652501106,2.229581355,0.539613267
2.810301176,0.647963058,2.293850062,0.536147555
2.849739258,0.639515393,2.342213762,0.530618869
2.907504105,0.639304085,2.401659926,0.526149427
2.965271614,0.639310593,2.456076207,0.524157106
3.023039124,0.639317102,2.51588363,0.519973764
3.080069975,0.63634187,2.570260522,0.517221459
3.136396471,0.633027735,2.635117473,0.517211825
3.191723582,0.629788512,2.68573333,0.513935163
3.253991125,0.62968662,2.748428089,0.514259875
3.311758634,0.629693128,2.804056445,0.511115073
3.372871992,0.627231434,2.863260857,0.507366769
3.427250731,0.626194684,2.910153776,0.502259787
3.489891412,0.623885413,2.969892915,0.497299012
3.542749604,0.623250682,3.023097959,0.492496424
3.600514854,0.623072377,3.083482868,0.490011158
3.654740865,0.619770325,3.131775392,0.485905325
3.716013163,0.620082171,3.194465492,0.485848858
3.773780673,0.620088679,3.255852471,0.484526539
3.831548182,0.620095187,3.305457878,0.482485218
3.889315691,0.620101695,3.372604482,0.480549381
3.947083201,0.620108204,3.425463239,0.479960853
4.00485071,0.620114712,3.48529765,0.477207714
4.067506254,0.617231173,3.540958724,0.47673963
4.118146313,0.615934522,3.600718129,0.472623997
4.178103539,0.616068336,3.647771166,0.468982899
4.239221778,0.614005971,3.712957558,0.465577796
4.293602412,0.613124333,3.762977539,0.463355007
4.351368792,0.613038435,3.824383155,0.463557401
4.408399229,0.610029321,3.882149535,0.463471503
4.469045898,0.609282269,3.935767682,0.458176992
4.520090082,0.606522968,3.980602019,0.450332606
4.581191015,0.603044799,4.03296984,0.445042354
4.64008209,0.602906223,4.091978262,0.444274546
4.702328333,0.601061802,4.149745772,0.444281054
4.758508228,0.597773666,4.20950207,0.439911301
4.813312893,0.597057913,4.265206241,0.438195219
4.875951315,0.594563829,4.32297375,0.438201727
4.925156803,0.592539031,4.385614996,0.435938659
4.988740706,0.591933704,4.438473189,0.435303928
5.039786443,0.589301463,4.496239004,0.435171826
5.097112769,0.585948717,4.554006513,0.435178334
5.15481082,0.58206297,4.611774022,0.435184843
5.217508686,0.5826418,4.669541532,0.435191351
5.275276195,0.582648309,4.727309041,0.435197859
5.333043705,0.582654817,4.789114183,0.43136481
5.390811214,0.582661325,4.837852701,0.427857819
5.448578723,0.582667833,4.900524595,0.428102057
5.506346233,0.582674342,4.962770838,0.426257635
5.562008297,0.577513537,5.013833658,0.425023048
5.613692965,0.571572988,5.073789848,0.425072156
5.668647287,0.568779641,5.131557358,0.425078664
5.719285923,0.567366518,5.189324867,0.425085173
5.779242631,0.567457979,5.247092377,0.425091681
5.83701014,0.567464487,5.304859886,0.425098189
5.89477765,0.567470995,5.362627395,0.425104697
5.954538435,0.563468304,5.422000694,0.422220789
6.010250544,0.562401636,5.478125139,0.422068288
6.068018053,0.562408144,5.539509251,0.420511398
6.125785563,0.562414652,5.588947832,0.415653071
6.183553072,0.56242116,5.651328268,0.413956011
6.241320581,0.562427669,5.709095778,0.413962519
6.299088091,0.562434177,5.766863287,0.413969027
6.354430259,0.557358043,5.824630797,0.413975535
6.41454856,0.556348342,5.882351713,0.410170261
6.47231607,0.55635485,5.940116116,0.409922651
6.530083579,0.556361358,5.997883625,0.409929159
6.587851088,0.556367867,6.057960613,0.405539678
6.645618598,0.556374375,6.113350307,0.404351562
6.703386107,0.556380883,6.174385892,0.400372791
6.761153616,0.556387391,6.227993281,0.397483731
6.818921126,0.5563939,6.275076359,0.39238137
6.876688635,0.556400408,6.33376185,0.39167047
6.931830349,0.556406621,6.391529359,0.391676979
0.126165236,0.988184561,6.449296868,0.391683487
0.199390751,0.978729089,6.507064378,0.391689995
0.264486525,0.970849987,6.564831887,0.391696504
,,6.622599397,0.391703012
,,6.680366906,0.39170952
,,6.738134415,0.391716028
,,6.795901925,0.391722537
,,6.853669434,0.391729045
,,6.911436943,0.391735553
,,6.963952861,0.39174147
